Date,Machine,1Q error,1Q error (legacy),1Q leakage,2Q error,2Q error (legacy),2Q leakage,Transport 1Q error,MCM error,MCR error,SPAM error
2022_06_09,H1-1,,3.8(4)E-05,,,2.40(8)E-03,,3.4(2)E-04,1.2(2)E-05,,2.8(1)E-03
2022_06_09,H1-2,,3.4(5)E-05,,,2.50(9)E-03,,3.4(2)E-04,5.2(4)E-05,,3.2(2)E-03
2023_01_20,H1-1,4.5(8)E-05,4.5(8)E-05,0(2)E-06,2.15(8)E-03,2.05(8)E-03,4.2(3)E-04,1.4(3)E-04,7(5)E-06,,3.1(4)E-03
2023_03_10,H2-1,2.7(3)E-05,2.5(3)E-05,4(2)E-06,1.93(5)E-03,1.83(5)E-03,3.9(2)E-04,2.2(3)E-04,4.4(8)E-06,,1.6(1)E-03
2023_07_17,H1-1,3.2(5)E-05,2.9(5)E-05,5(3)E-06,1.47(7)E-03,1.38(7)E-03,3.8(3)E-04,1.8(2)E-04,8.7(9)E-06,,2.7(1)E-03
2023_08_21,H1-2,6(1)E-05,5(1)E-05,1.3(4)E-05,3.0(1)E-03,3.0(1)E-03,3.1(3)E-04,4.3(3)E-04,3.4(2)E-05,,3.2(1)E-03
2024_04_10,H1-1,2.4(3)E-05,2.1(3)E-05,6(1)E-06,9.3(3)E-04,8.8(3)E-04,2.1(1)E-04,2.1(2)E-04,1.5(1)E-05,,2.5(1)E-03
2024_05_20,H2-1,3.4(4)E-05,2.9(4)E-05,1.0(2)E-05,1.36(8)E-03,1.28(8)E-03,3.3(4)E-04,5.0(3)E-04,7.4(8)E-06,,1.5(1)E-03
2024_12_06,H2-2,8(2)E-05,7(2)E-05,1.2(3)E-05,1.4(1)E-03,1.3(1)E-03,4.3(6)E-04,5.3(4)E-04,6.3(9)E-06,,1.33(9)E-03
